quarter,low,mid,high,n_models
1992Q1,0.658,1.619,3.75,3
1992Q2,0.601,1.479,3.441,3
1992Q3,0.47,1.349,2.988,3
1992Q4,0.4,1.243,2.849,3
1993Q1,0.339,1.121,2.614,4
1993Q2,0.324,1.047,2.308,4
1993Q3,0.249,0.98,2.182,4
1993Q4,0.156,0.922,1.846,4
1994Q1,0.206,0.882,1.693,4
1994Q2,0.26,0.86,1.381,4
1994Q3,0.341,0.835,1.194,4
1994Q4,0.351,0.808,1.284,4
1995Q1,0.24,0.789,1.177,6
1995Q2,0.046,0.753,1.163,6
1995Q3,-0.056,0.797,1.166,6
1995Q4,-0.113,0.723,1.24,6
1996Q1,-0.101,0.69,1.196,6
1996Q2,-0.102,0.629,1.223,6
1996Q3,-0.11,0.603,1.251,6
1996Q4,-0.125,0.526,1.283,6
1997Q1,-0.101,0.413,1.398,6
1997Q2,-0.052,0.457,1.249,6
1997Q3,-0.062,0.302,1.094,6
1997Q4,-0.067,0.313,1.034,6
1998Q1,-0.057,0.324,0.967,6
1998Q2,-0.073,0.36,0.902,6
1998Q3,-0.094,0.278,0.844,6
1998Q4,-0.076,0.193,0.8,6
1999Q1,-0.083,0.235,1.244,6
1999Q2,-0.083,0.227,0.743,6
1999Q3,-0.101,0.264,0.579,6
1999Q4,-0.114,0.301,0.588,6
2000Q1,-0.121,0.296,0.556,6
2000Q2,-0.107,0.243,0.603,6
2000Q3,-0.072,0.28,0.811,6
2000Q4,-0.044,0.348,0.756,6
2001Q1,-0.032,0.297,0.643,6
2001Q2,0.001,0.314,0.726,6
2001Q3,0.047,0.336,0.735,6
2001Q4,0.08,0.336,0.703,6
2002Q1,0.086,0.281,0.718,6
2002Q2,0.073,0.259,0.588,6
2002Q3,0.037,0.216,0.461,6
2002Q4,0.006,0.262,0.433,6
2003Q1,-0.006,0.328,0.528,6
2003Q2,-0.005,0.343,0.63,6
2003Q3,0.03,0.347,0.772,6
2003Q4,0.004,0.323,0.615,6
2004Q1,-0.053,0.359,0.612,6
2004Q2,-0.098,0.345,0.757,6
2004Q3,-0.17,0.339,0.758,6
2004Q4,-0.227,0.289,0.624,6
2005Q1,-0.278,0.291,0.693,6
2005Q2,-0.317,0.292,0.644,6
2005Q3,-0.335,0.34,0.659,6
2005Q4,-0.337,0.33,0.721,6
2006Q1,-0.331,0.295,0.797,6
2006Q2,-0.313,0.267,0.893,6
2006Q3,-0.282,0.236,0.694,6
2006Q4,-0.239,0.147,0.646,6
2007Q1,-0.202,0.087,0.839,6
2007Q2,-0.215,0.104,0.826,6
2007Q3,-0.308,0.069,0.543,6
2007Q4,-0.428,0.024,0.462,6
2008Q1,-0.564,-0.055,0.42,6
2008Q2,-0.681,-0.063,0.391,6
2008Q3,-0.762,-0.11,0.157,6
2008Q4,-0.731,-0.157,0.042,6
2009Q1,-0.536,-0.177,0.014,6
2009Q2,-0.382,-0.194,0.119,6
2009Q3,-0.26,-0.171,0.086,6
2009Q4,-0.323,-0.124,-0.076,6
2010Q1,-0.369,-0.11,-0.006,6
2010Q2,-0.371,-0.169,0.008,6
2010Q3,-0.357,-0.178,-0.027,6
2010Q4,-0.328,-0.204,-0.015,6
2011Q1,-0.316,-0.166,0.095,6
2011Q2,-0.383,-0.156,0.169,6
2011Q3,-0.383,-0.201,0.192,6
2011Q4,-0.398,-0.22,0.219,6
2012Q1,-0.426,-0.232,0.201,6
2012Q2,-0.45,-0.179,0.229,6
2012Q3,-0.461,-0.172,0.398,6
2012Q4,-0.476,-0.181,0.489,6
2013Q1,-0.503,-0.217,0.366,6
2013Q2,-0.537,-0.264,0.355,6
2013Q3,-0.612,-0.305,0.488,6
2013Q4,-0.681,-0.346,0.494,6
2014Q1,-0.746,-0.391,0.543,6
2014Q2,-0.801,-0.361,0.598,6
2014Q3,-0.843,-0.341,0.642,6
2014Q4,-0.878,-0.332,0.661,6
2015Q1,-0.902,-0.388,0.736,6
2015Q2,-0.915,-0.389,0.749,6
2015Q3,-0.933,-0.341,0.809,6
2015Q4,-0.97,-0.305,0.774,6
2016Q1,-1.029,-0.3,0.666,6
2016Q2,-1.065,-0.334,0.616,6
2016Q3,-1.074,-0.29,0.667,6
2016Q4,-1.07,-0.306,0.654,6
2017Q1,-1.065,-0.286,0.631,6
2017Q2,-1.058,-0.309,0.58,6
2017Q3,-1.049,-0.329,0.584,6
2017Q4,-1.038,-0.315,0.521,6
2018Q1,-1.021,-0.295,0.464,6
2018Q2,-1.003,-0.356,0.361,6
2018Q3,-0.988,-0.387,0.336,6
2018Q4,-0.982,-0.437,0.149,6
2019Q1,-0.974,-0.481,0.027,6
2019Q2,-0.959,-0.526,0.009,6
2019Q3,-0.933,-0.576,-0.102,6
2019Q4,-0.894,-0.531,0.063,6
2020Q1,-0.859,-0.492,0.067,6
2020Q2,-0.814,-0.467,-0.026,6
2020Q3,-0.778,-0.421,0.013,6
2020Q4,-0.751,-0.41,0.041,6
2021Q1,-0.737,-0.332,0.072,6
2021Q2,-0.73,-0.346,0.056,6
2021Q3,-0.741,-0.334,0.113,6
2021Q4,-0.753,-0.31,0.343,6
2022Q1,-0.767,-0.329,0.386,6
2022Q2,-0.789,-0.348,0.394,6
2022Q3,-0.818,-0.365,0.353,6
2022Q4,-0.841,-0.387,0.36,6
2023Q1,-0.877,-0.412,0.542,6
2023Q2,-0.929,-0.511,0.487,6
2023Q3,-0.975,-0.466,0.471,6
2023Q4,-1.005,-0.423,0.476,6
2024Q1,-1.009,-0.402,0.484,6
2024Q2,-1.001,-0.388,0.524,6
2024Q3,-0.989,-0.378,0.428,6
2024Q4,-0.972,-0.381,0.416,6
2025Q1,-0.96,-0.378,0.524,6
2025Q2,-0.952,-0.371,0.564,6
2025Q3,-0.935,-0.356,0.53,6
