rank,indicator,layer,source,url,frequency,history_from,access,data_code,polarity_higher_means,phase
1,Policy rate target and TONA (uncollateralized O/N call rate),monetary/funding,BoJ Call Money Market Data; FRED,https://www.boj.or.jp/en/statistics/market/short/mutan/index.htm,daily (monthly on FRED),1985,auto,BoJ FM01; FRED IRSTCI01JPM156N,tighter,1
2,Real policy rate vs natural-rate band,monetary,Computed (TONA minus core CPI ex fresh food & energy; r* band from BoJ Review 2026-E-4),https://www.boj.or.jp/en/research/wps_rev/rev_2026/rev26e04.htm,monthly,2005,computed,,tighter,1
3,Real effective exchange rate and USD/JPY; banded MCI,monetary,BIS EER; FRED,https://data.bis.org/topics/EER,monthly/daily,1994,auto,FRED RBJPBIS (verify); DEXJPUS,tighter (yen stronger),1
4,M2 and M3 growth (nominal and real),monetary,BoJ Money Stock; FRED (OECD MEI),https://www.boj.or.jp/en/statistics/money/ms/index.htm,monthly,1967 (M2) / 2003 (M3),auto (M3) / boj-csv (M2),BoJ MD02; FRED MABMM301JPM189S,easier,1
5,Bank lending growth (y/y),monetary,BoJ Loans and Bills Discounted,https://www.stat-search.boj.or.jp/index_en.html,monthly,1991,boj-csv,BoJ Loans and Discounts (look up in stat-search),easier,1
6,Monetary base and BoJ current-account balances (level and y/y),cb_liquidity,BoJ Monetary Base; CAB by sector,https://www.boj.or.jp/en/statistics/boj/other/mb/index.htm,monthly/daily,1970 / 2001,boj-csv,BoJ MD01; MD06; MD08,easier,1
7,Excess reserves as share of bank assets (reserve-ampleness ratio),cb_liquidity,Computed from BoJ MD07/MD08 and bank balance-sheet statistics,https://www.stat-search.boj.or.jp/index_en.html,monthly,2008,boj-csv,BoJ MD07; MD08,easier (until demand curve steepens),1
8,BoJ total assets and JGB holdings (level; % GDP; % of outstanding),cb_liquidity,FRED (BoJ total assets); BoJ Accounts; MoF holdings breakdown,https://www.mof.go.jp/english/policy/jgbs/reference/Others/holdings01.pdf,monthly / 10-day / quarterly,1998,auto + manual,FRED JPNASSETS,easier,1
9,TONA minus IOER and GC repo (Tokyo Repo Rate) minus IOER spreads,funding,BoJ FM01; JSDA Tokyo Repo Rate,https://www.jsda.or.jp/en/statistics/bonds/trr/,daily,2008 / 2012,boj-csv + scrape,BoJ FM01,tighter/scarcer (rising toward zero),1
10,3m TIBOR minus OIS (or minus compounded TONA),funding,JBA TIBOR; FRED 3m interbank,https://www.jbatibor.or.jp/english/rate/historical_data.html,daily (monthly on FRED),2014 / 1986,auto,FRED IR3TIB01JPM156N,tighter,1
11,JGB market functioning DI (Bond Market Survey),market,BoJ Financial Markets Department,https://www.boj.or.jp/en/paym/bond/bond_list/index.htm,quarterly (Feb/May/Aug/Nov),2015,manual,,more liquid,1
12,JGB liquidity indicators: futures bid-ask; price impact; cash turnover,market,BoJ Liquidity Indicators in the JGB Markets,https://www.boj.or.jp/en/paym/bond/index.htm,quarterly release (monthly data),2012,manual,,less liquid (spread/impact up); more liquid (turnover up),1
13,Realised volatility of 10y and 30y JGB yields; 10s30s slope,market,MoF daily JGB yield curve CSV,https://www.mof.go.jp/english/policy/jgbs/reference/interest_rate/jgbcme.csv,daily,1974,auto,FRED IRLTLT01JPM156N (10y monthly),less liquid,1
14,3m JPY/USD cross-currency basis; BoJ USD funds-supplying operation take-up,funding,Bloomberg/LSEG (licensed); BoJ FSR; BoJ market operations,https://www.boj.or.jp/en/research/brp/fsr/fsr260421.htm,daily,2008,licensed/manual,,tighter (more negative),1
15,Credit-to-GDP gap (BIS),monetary,BIS Data Portal,https://data.bis.org/topics/CREDIT_GAPS,quarterly,1965,auto,BIS WS_CREDIT_GAP; FRED QJPPAM770A (verify),easier/risk,2
16,M1 growth and M1/M2 share (Divisia proxy),monetary,BoJ Money Stock,https://www.boj.or.jp/en/statistics/money/ms/index.htm,monthly,2003,boj-csv,BoJ MD02; FRED MANMM101JPM189S (verify),easier,2
17,Japan proxy policy rate (principal components of phase-1 rates and spreads),monetary,Computed (SF Fed proxy-funds-rate template),https://www.frbsf.org/research-and-insights/data-and-indicators/proxy-funds-rate/,monthly,2005,computed,,tighter,2
18,Foreign share of JGB cash trading; BIS yen credit outside Japan,market/funding,JSDA trading by investor type; BIS global liquidity indicators,https://www.bis.org/statistics/gli2601.htm,monthly / quarterly,2004,scrape/auto,,ambiguous,2
